item_id,concept_family,split,target_concept,wrong_concept,positive_prompt,negative_prompt,report_prompt,behavior_prompt,target_markers,wrong_markers,source_note
joy_note_train_a,emotion,train,joy,calm,"Read this and prepare to answer with joy, delight, and cheerful relief: A lost note was found inside an old book.","Read this and prepare to answer with calm, quiet, and steady composure: A lost note was found inside an old book.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about finding a small object you had misplaced.,joy;happy;delight;glad;cheerful;relief,calm;quiet;steady;peaceful;composed,Joy-vs-calm contrast with neutral behavior.
joy_plan_train_b,emotion,train,joy,calm,Read this and prepare to answer with happy enthusiasm and delight: The project finally worked after many attempts.,Read this and prepare to answer with peaceful steadiness and no excitement: The project finally worked after many attempts.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about completing a small household task.,joy;happy;delight;glad;cheerful;enthusiasm,calm;quiet;steady;peaceful;composed,Second train row prevents one-example direction fitting.
joy_message_eval,emotion,eval,joy,calm,Read this and prepare to answer with bright joy and gladness: A friend sent unexpectedly good news.,Read this and prepare to answer with calm patience and steady balance: A friend sent unexpectedly good news.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about receiving a short message.,joy;happy;delight;glad;cheerful;bright,calm;quiet;steady;peaceful;patient,Held-out joy row.
calm_morning_train_a,emotion,train,calm,joy,"Read this and prepare to answer with calm, steady, peaceful composure: The morning schedule is full but manageable.",Read this and prepare to answer with joyful delight and cheerful excitement: The morning schedule is full but manageable.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about checking a daily schedule.,calm;quiet;steady;peaceful;composed;soothing,joy;happy;delight;glad;cheerful;excited,Calm-vs-joy contrast.
calm_library_train_b,emotion,train,calm,joy,"Read this and prepare to answer with a quiet, measured, soothing tone: The library room is almost empty.","Read this and prepare to answer with a delighted, happy, cheerful tone: The library room is almost empty.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about sitting down to read.,calm;quiet;steady;peaceful;measured;soothing,joy;happy;delight;glad;cheerful,Second calm train row.
calm_commute_eval,emotion,eval,calm,joy,Read this and prepare to answer with patient calm and steady reassurance: The bus is running ten minutes late.,Read this and prepare to answer with cheerful excitement and delight: The bus is running ten minutes late.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about waiting for transportation.,calm;quiet;steady;peaceful;patient;reassuring,joy;happy;delight;glad;cheerful;excited,Held-out calm row.
technical_router_train_a,register,train,technical_register,plain_register,"Read this and prepare to answer in a precise technical register with definitions, constraints, and implementation details: A router forwards packets across a network.",Read this and prepare to answer in a plain everyday register with simple words and minimal jargon: A router helps devices talk online.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Explain why a kitchen timer is useful in one sentence.,technical;precise;formal;analytical;implementation;constraints;protocol,plain;simple;direct;everyday;nontechnical;minimal,Technical-vs-plain register contrast.
technical_sensor_train_b,register,train,technical_register,plain_register,"Read this and prepare to answer in a technical register using terms, thresholds, and system behavior: A sensor records temperature once per second.",Read this and prepare to answer in plain language using everyday wording: A sensor checks how warm something is.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about a small device on a desk.,technical;precise;formal;analytical;threshold;system;terms,plain;simple;direct;everyday;nontechnical,Second technical train row.
technical_cache_eval,register,eval,technical_register,plain_register,Read this and prepare to answer in precise technical language with configuration details: A cache stores recent results to reduce repeated work.,Read this and prepare to answer in plain everyday language with no jargon: A cache keeps useful things nearby.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Explain why a checklist can prevent mistakes in one sentence.,technical;precise;formal;analytical;configuration;system;details,plain;simple;direct;everyday;nontechnical;jargon,Held-out technical row.
plain_manual_train_a,register,train,plain_register,technical_register,"Read this and prepare to answer in plain, simple, everyday language: A manual explains how to assemble a shelf.",Read this and prepare to answer in a precise technical register with terms and implementation constraints: A manual explains how to assemble a shelf.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about following instructions.,plain;simple;direct;everyday;nontechnical;clear,technical;precise;formal;analytical;implementation;constraints,Plain-vs-technical register contrast.
plain_battery_train_b,register,train,plain_register,technical_register,Read this and prepare to answer with direct everyday wording and no specialized terms: The battery needs charging.,Read this and prepare to answer with precise formal terminology and operational details: The battery needs charging.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about plugging in a device.,plain;simple;direct;everyday;nontechnical,technical;precise;formal;analytical;operational;terminology,Second plain train row.
plain_map_eval,register,eval,plain_register,technical_register,"Read this and prepare to answer in a simple, direct, everyday register: A map shows where the nearest station is.",Read this and prepare to answer in a formal technical register with definitions and constraints: A map shows where the nearest station is.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about checking directions.,plain;simple;direct;everyday;nontechnical;clear,technical;precise;formal;analytical;definitions;constraints,Held-out plain row.
warm_notes_train_a,voice,train,warm_supportive_voice,playful_voice,"Read this and prepare to answer in a warm, supportive, reassuring voice: Someone is trying to organize a messy notebook.","Read this and prepare to answer in a playful, whimsical, lively voice: Someone is trying to organize a messy notebook.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Give one sentence of advice about organizing notes.,warm;supportive;encouraging;reassuring;kind;gentle,playful;whimsical;lively;fun;imaginative;cheeky,Warm-vs-playful voice contrast and source-attribution target.
warm_practice_train_b,voice,train,warm_supportive_voice,playful_voice,Read this and prepare to answer with gentle encouragement and supportive reassurance: A student is nervous before practice.,"Read this and prepare to answer with lively, playful, whimsical phrasing: A student is nervous before practice.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about preparing for a short practice session.,warm;supportive;encouraging;reassuring;kind;gentle,playful;whimsical;lively;fun;imaginative;cheeky,Second warm train row.
warm_email_eval,voice,eval,warm_supportive_voice,playful_voice,"Read this and prepare to answer in a kind, reassuring, supportive voice: A person needs to send a difficult email.","Read this and prepare to answer in a lively, playful, whimsical voice: A person needs to send a difficult email.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about drafting a short email.,warm;supportive;encouraging;reassuring;kind;gentle,playful;whimsical;lively;fun;imaginative;cheeky,Held-out warm row.
playful_pencil_train_a,voice,train,playful_voice,warm_supportive_voice,"Read this and prepare to answer in a playful, whimsical, lively voice: A pencil is waiting on a desk.","Read this and prepare to answer in a warm, supportive, reassuring voice: A pencil is waiting on a desk.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Describe a pencil in one sentence.,playful;whimsical;lively;fun;imaginative;cheeky,warm;supportive;encouraging;reassuring;kind;gentle,Playful-vs-warm voice contrast and source-attribution target.
playful_calendar_train_b,voice,train,playful_voice,warm_supportive_voice,"Read this and prepare to answer with fun, lively, imaginative phrasing: The calendar has one blank square.","Read this and prepare to answer with gentle, supportive reassurance: The calendar has one blank square.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about choosing a date for an errand.,playful;whimsical;lively;fun;imaginative;cheeky,warm;supportive;encouraging;reassuring;kind;gentle,Second playful train row.
playful_mug_eval,voice,eval,playful_voice,warm_supportive_voice,"Read this and prepare to answer in a whimsical, lively, playful voice: A mug sits beside a closed laptop.","Read this and prepare to answer in a warm, kind, supportive voice: A mug sits beside a closed laptop.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about a mug on a table.,playful;whimsical;lively;fun;imaginative;cheeky,warm;supportive;encouraging;reassuring;kind;gentle,Held-out playful row.
weather_walk_train_a,topic,train,weather_topic,gardening_topic,"Read this and focus on weather, rain, clouds, wind, and changing skies: A person is planning a short walk.","Read this and focus on gardening, soil, seedlings, pruning, and watering: A person is planning a short walk.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about planning a weekend activity.,weather;rain;cloud;clouds;wind;storm;sky;forecast,garden;gardening;plant;plants;soil;seedling;watering;pruning,Weather-vs-gardening topic contrast.
weather_window_train_b,topic,train,weather_topic,gardening_topic,"Read this and focus on forecasts, clouds, rain, wind, and temperature changes: A window was left slightly open.","Read this and focus on plant care, soil, roots, seedlings, and watering: A window was left slightly open.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about checking something before leaving home.,weather;rain;cloud;clouds;wind;storm;sky;forecast;temperature,garden;gardening;plant;plants;soil;seedling;watering;roots,Second weather train row.
weather_commute_eval,topic,eval,weather_topic,gardening_topic,"Read this and focus on weather reports, wind, clouds, and possible rain: A commuter is deciding what to carry.","Read this and focus on gardening tools, soil, seedlings, and watering: A commuter is deciding what to carry.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about packing a bag.,weather;rain;cloud;clouds;wind;storm;sky;forecast,garden;gardening;plant;plants;soil;seedling;watering;tools,Held-out weather row.
gardening_balcony_train_a,topic,train,gardening_topic,weather_topic,"Read this and focus on gardening, plants, soil, seedlings, pruning, and watering: A balcony has two empty pots.","Read this and focus on weather, rain, clouds, wind, and forecasts: A balcony has two empty pots.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about planning a small home project.,garden;gardening;plant;plants;soil;seedling;watering;pruning,weather;rain;cloud;clouds;wind;storm;sky;forecast,Gardening-vs-weather topic contrast.
gardening_tools_train_b,topic,train,gardening_topic,weather_topic,"Read this and focus on plant care, soil, roots, seedlings, and watering: A shelf holds a small set of tools.","Read this and focus on wind, rain, clouds, temperature, and forecasts: A shelf holds a small set of tools.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about arranging tools on a shelf.,garden;gardening;plant;plants;soil;seedling;watering;roots,weather;rain;cloud;clouds;wind;storm;temperature;forecast,Second gardening train row.
gardening_seed_eval,topic,eval,gardening_topic,weather_topic,"Read this and focus on gardening, seeds, soil, watering, and plant care: A small packet arrived in the mail.","Read this and focus on weather, clouds, wind, rain, and forecasts: A small packet arrived in the mail.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about opening a package.,garden;gardening;plant;plants;soil;seed;seeds;watering,weather;rain;cloud;clouds;wind;storm;sky;forecast,Held-out gardening row.
