item_id,split,distractor_task,report_prompt,behavior_prompt,injection_position_policy,positive_conditions,negative_conditions,target_direction_id,wrong_direction_id
inj_heldout_poetic_voice_043,heldout,Write one sentence about watering a small plant.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,poetic_voice,technical_register
inj_heldout_poetic_voice_044,heldout,Write one sentence about folding a basket of laundry.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,poetic_voice,technical_register
inj_heldout_poetic_voice_045,heldout,Write one sentence about packing a simple lunch.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,poetic_voice,technical_register
inj_heldout_poetic_voice_046,heldout,Write one sentence about tidying a desk drawer.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,poetic_voice,technical_register
inj_heldout_poetic_voice_047,heldout,Write one sentence about charging a set of devices.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,poetic_voice,technical_register
inj_heldout_poetic_voice_048,heldout,Write one sentence about sorting the day's mail.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,poetic_voice,technical_register
inj_heldout_poetic_voice_049,heldout,Write one sentence about making a cup of tea.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,poetic_voice,technical_register
inj_heldout_poetic_voice_050,heldout,Write one sentence about setting a morning alarm.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,poetic_voice,technical_register
inj_heldout_poetic_voice_051,heldout,Write one sentence about cleaning a window.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,poetic_voice,technical_register
inj_train_san_francisco_topic_052,train,Write one sentence about how to organize a bookshelf.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_train_san_francisco_topic_053,train,Write one sentence about labeling folders on a desk.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_train_san_francisco_topic_054,train,Write one sentence about planning a quiet morning routine.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_validation_san_francisco_topic_055,validation,Write one sentence about preparing a classroom table.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_validation_san_francisco_topic_056,validation,Write one sentence about arranging files on a desk.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_heldout_san_francisco_topic_057,heldout,Write one sentence about preparing a simple grocery list.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_heldout_san_francisco_topic_058,heldout,Write one sentence about setting up a quiet meeting room.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_heldout_san_francisco_topic_059,heldout,Write one sentence about checking a calendar card.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_heldout_san_francisco_topic_060,heldout,Write one sentence about watering a small plant.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_heldout_san_francisco_topic_061,heldout,Write one sentence about folding a basket of laundry.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_heldout_san_francisco_topic_062,heldout,Write one sentence about packing a simple lunch.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_heldout_san_francisco_topic_063,heldout,Write one sentence about tidying a desk drawer.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_heldout_san_francisco_topic_064,heldout,Write one sentence about charging a set of devices.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_heldout_san_francisco_topic_065,heldout,Write one sentence about sorting the day's mail.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_heldout_san_francisco_topic_066,heldout,Write one sentence about making a cup of tea.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_heldout_san_francisco_topic_067,heldout,Write one sentence about setting a morning alarm.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_heldout_san_francisco_topic_068,heldout,Write one sentence about cleaning a window.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,san_francisco_topic,chess_topic
inj_train_chess_topic_069,train,Write one sentence about how to organize a bookshelf.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_train_chess_topic_070,train,Write one sentence about labeling folders on a desk.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_train_chess_topic_071,train,Write one sentence about planning a quiet morning routine.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_validation_chess_topic_072,validation,Write one sentence about preparing a classroom table.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_validation_chess_topic_073,validation,Write one sentence about arranging files on a desk.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_heldout_chess_topic_074,heldout,Write one sentence about preparing a simple grocery list.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_heldout_chess_topic_075,heldout,Write one sentence about setting up a quiet meeting room.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_heldout_chess_topic_076,heldout,Write one sentence about checking a calendar card.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_heldout_chess_topic_077,heldout,Write one sentence about watering a small plant.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_heldout_chess_topic_078,heldout,Write one sentence about folding a basket of laundry.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_heldout_chess_topic_079,heldout,Write one sentence about packing a simple lunch.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_heldout_chess_topic_080,heldout,Write one sentence about tidying a desk drawer.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_heldout_chess_topic_081,heldout,Write one sentence about charging a set of devices.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_heldout_chess_topic_082,heldout,Write one sentence about sorting the day's mail.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_heldout_chess_topic_083,heldout,Write one sentence about making a cup of tea.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_heldout_chess_topic_084,heldout,Write one sentence about setting a morning alarm.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
inj_heldout_chess_topic_085,heldout,Write one sentence about cleaning a window.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,chess_topic,terse_register
